Real-time,RTD Average Upper Temperature (C)
2018-02-07 03:00:57,-6.606998
2018-02-07 04:01:03,-6.785781
2018-02-07 05:00:56,-5.806701
2018-02-07 06:01:05,-5.326329
2018-02-07 07:00:57,-5.256317
2018-02-07 08:01:01,-4.790689
2018-02-07 09:00:56,-3.595215
2018-02-07 10:01:02,-2.823518
2018-02-07 11:00:56,-2.729828
2018-02-07 12:01:05,-1.993223
2018-02-07 13:00:56,-1.747048
2018-02-07 14:00:56,-1.725068
2018-02-07 15:00:57,-1.585968
2018-02-07 16:01:01,-1.968677
2018-02-07 17:01:12,-2.449998
2018-02-07 18:00:56,-2.543007
2018-02-07 19:01:05,-3.527851
2018-02-07 20:01:04,-4.051965
2018-02-07 21:00:56,-4.663247
2018-02-07 22:00:56,-6.057997
2018-02-07 23:00:57,-7.242236
2018-02-08 00:01:05,-6.872301
2018-02-08 01:00:57,-4.94628
2018-02-08 02:00:56,-4.585434
2018-02-08 03:00:57,-5.057016
2018-02-08 04:01:01,-5.103164
2018-02-08 05:00:56,-4.802832
2018-02-08 06:00:56,-4.092044
2018-02-08 07:00:58,-3.279563
2018-02-08 08:00:56,-2.448759
2018-02-08 10:01:03,-2.498764
2018-02-08 11:00:57,-2.534356
2018-02-08 12:00:56,-2.412726
2018-02-08 13:01:01,-2.171387
2018-02-08 14:01:01,-2.282226
2018-02-08 15:00:57,-2.216885
2018-02-08 16:00:56,-2.029988
2018-02-08 17:01:01,-2.231448
2018-02-08 18:00:59,-2.175927
2018-02-08 19:00:56,-2.500301
2018-02-08 20:00:56,-2.605974
2018-02-08 21:00:58,-2.83308
2018-02-08 22:00:56,-2.822705
2018-02-08 23:00:56,-2.873462
2018-02-09 00:01:05,-3.083606
2018-02-09 01:01:02,-3.262478
2018-02-09 02:00:56,-3.704887
2018-02-09 03:00:57,-3.232022
2018-02-09 04:00:58,-3.13019
2018-02-09 05:00:56,-3.911337
2018-02-09 06:00:56,-4.717808
2018-02-09 07:00:58,-4.763189
2018-02-09 08:00:57,-4.009787
2018-02-09 09:00:57,-3.392814
2018-02-09 10:00:57,-2.591675
2018-02-09 11:00:56,-2.277203
2018-02-09 12:00:56,-1.711736
2018-02-09 13:00:56,-1.61776
2018-02-09 14:00:57,-1.811925
2018-02-09 15:00:57,-1.380854
2018-02-09 16:00:57,-1.584081
2018-02-09 17:00:56,-2.01285
2018-02-09 18:00:56,-2.204628
2018-02-09 19:00:56,-2.344138
2018-02-09 20:00:57,-2.569873
2018-02-09 21:01:03,-2.577624
2018-02-09 22:00:57,-2.757547
2018-02-09 23:01:01,-2.757846
2018-02-10 00:00:57,-3.106915
2018-02-10 01:00:56,-3.24946
2018-02-10 02:00:56,-3.468089
2018-02-10 03:01:00,-3.259381
2018-02-10 04:00:57,-4.635694
2018-02-10 05:00:57,-5.396192
2018-02-10 06:01:05,-5.926881
2018-02-10 07:01:10,-6.28644
2018-02-10 08:01:01,-6.749004
2018-02-10 09:01:03,-6.418536
2018-02-10 10:00:59,-6.599892
2018-02-10 11:01:05,-6.56144
2018-02-10 12:01:05,-6.270414
2018-02-10 13:00:56,-5.99382
2018-02-10 14:01:05,-5.62954
2018-02-10 15:00:57,-5.195535
2018-02-10 16:01:00,-5.052187
2018-02-10 17:01:07,-5.090719
2018-02-10 18:00:56,-5.010751
2018-02-10 19:01:05,-5.161258
2018-02-10 20:01:04,-5.229098
2018-02-10 21:00:56,-5.407017
2018-02-10 22:00:58,-5.590234
2018-02-10 23:01:03,-5.49254
2018-02-11 00:01:04,-5.830286
2018-02-11 01:00:56,-6.222426
2018-02-11 02:00:56,-6.11484
2018-02-11 03:00:57,-6.142931
2018-02-11 05:01:03,-5.839441
2018-02-11 06:00:57,-5.909003
